column,row,orientation,landmark_prob
0,0,S,0.0350877192982
0,0,R,0.0264900662252
0,0,L,0.00478468899522
0,1,S,0.0175438596491
0,1,R,0.0185185185185
0,1,L,0.00956937799043
0,2,S,0.030701754386
0,2,R,0.00584795321637
0,2,L,0.0191387559809
0,3,S,0.00438596491228
0,3,R,0.0416666666667
0,3,L,0.0239234449761
0,4,S,0.0263157894737
0,4,R,0.0334928229665
0,4,L,0.00478468899522
0,5,S,0.0175438596491
0,5,R,0.0287081339713
0,5,L,0.0239234449761
0,6,S,0.0175438596491
0,6,R,0.0287081339713
0,6,L,0.0191387559809
0,7,S,0.0131578947368
0,7,R,0.0287081339713
0,7,L,0.0143540669856
1,0,S,0.0568181818182
1,0,R,0.0197368421053
1,0,L,0.0191387559809
1,1,S,0.0382775119617
1,1,R,0.0131578947368
1,1,L,0.00478468899522
1,2,S,0.0143540669856
1,2,R,0.0116959064327
1,2,L,0.0
1,3,S,0.0191387559809
1,3,R,0.0157894736842
1,3,L,0.00956937799043
1,4,S,0.0239234449761
1,4,R,0.0143540669856
1,4,L,0.0143540669856
1,5,S,0.0287081339713
1,5,R,0.00478468899522
1,5,L,0.0
1,6,S,0.0191387559809
1,6,R,0.0
1,6,L,0.00956937799043
1,7,S,0.0239234449761
1,7,R,0.00478468899522
1,7,L,0.0239234449761
2,0,S,0.046783625731
2,0,R,0.0
2,0,L,0.00478468899522
2,1,S,0.0526315789474
2,1,R,0.0131578947368
2,1,L,0.00478468899522
2,2,S,0.0233918128655
2,2,R,0.0
2,2,L,0.0143540669856
2,3,S,0.0350877192982
2,3,R,0.0157894736842
2,3,L,0.0143540669856
2,4,S,0.0350877192982
2,4,R,0.00478468899522
2,4,L,0.0191387559809
2,5,S,0.0175438596491
2,5,R,0.0
2,5,L,0.00956937799043
2,6,S,0.0175438596491
2,6,R,0.00478468899522
2,6,L,0.00478468899522
2,7,S,0.046783625731
2,7,R,0.0
2,7,L,0.00956937799043
3,0,S,0.0233918128655
3,0,R,0.00657894736842
3,0,L,0.00478468899522
3,1,S,0.0409356725146
3,1,R,0.0
3,1,L,0.0
3,2,S,0.0584795321637
3,2,R,0.00549450549451
3,2,L,0.0143540669856
3,3,S,0.0409356725146
3,3,R,0.0
3,3,L,0.0143540669856
3,4,S,0.0350877192982
3,4,R,0.0
3,4,L,0.0191387559809
3,5,S,0.0116959064327
3,5,R,0.0
3,5,L,0.00956937799043
3,6,S,0.00584795321637
3,6,R,0.0
3,6,L,0.0143540669856
3,7,S,0.0233918128655
3,7,R,0.0
3,7,L,0.0143540669856
